seed_key,label,category
skill_0001,Active Listening,FOUNDATIONAL
skill_0002,Adaptability,FOUNDATIONAL
skill_0003,Analytical Thinking,FOUNDATIONAL
skill_0004,Attention to Detail,FOUNDATIONAL
skill_0005,Business Communication,FOUNDATIONAL
skill_0006,Change Resilience,FOUNDATIONAL
skill_0007,Collaboration,FOUNDATIONAL
skill_0008,Conflict Resolution,FOUNDATIONAL
skill_0009,Continuous Learning,FOUNDATIONAL
skill_0010,Creative Thinking,FOUNDATIONAL
skill_0011,Critical Thinking,FOUNDATIONAL
skill_0012,Cross-Functional Collaboration,FOUNDATIONAL
skill_0013,Customer Empathy,FOUNDATIONAL
skill_0014,Decision Making,FOUNDATIONAL
skill_0015,Dependability,FOUNDATIONAL
skill_0016,Emotional Intelligence,FOUNDATIONAL
skill_0017,Facilitation,FOUNDATIONAL
skill_0018,Giving Feedback,FOUNDATIONAL
skill_0019,Goal Setting,FOUNDATIONAL
skill_0020,Growth Mindset,FOUNDATIONAL
skill_0021,Initiative,FOUNDATIONAL
skill_0022,Interpersonal Communication,FOUNDATIONAL
skill_0023,Leadership,FOUNDATIONAL
skill_0024,Mentoring,FOUNDATIONAL
skill_0025,Negotiation,FOUNDATIONAL
skill_0026,Organization,FOUNDATIONAL
skill_0027,Ownership,FOUNDATIONAL
skill_0028,Patience,FOUNDATIONAL
skill_0029,Planning,FOUNDATIONAL
skill_0030,Presentation Skills,FOUNDATIONAL
skill_0031,Prioritization,FOUNDATIONAL
skill_0032,Problem Solving,FOUNDATIONAL
skill_0033,Professional Communication,FOUNDATIONAL
skill_0034,Relationship Building,FOUNDATIONAL
skill_0035,Reliability,FOUNDATIONAL
skill_0036,Research,FOUNDATIONAL
skill_0037,Resourcefulness,FOUNDATIONAL
skill_0038,Self-Management,FOUNDATIONAL
skill_0039,Self-Motivation,FOUNDATIONAL
skill_0040,Stakeholder Communication,FOUNDATIONAL
skill_0041,Strategic Thinking,FOUNDATIONAL
skill_0042,Teamwork,FOUNDATIONAL
skill_0043,Time Management,FOUNDATIONAL
skill_0044,Verbal Communication,FOUNDATIONAL
skill_0045,Written Communication,FOUNDATIONAL
skill_0046,Workshop Facilitation,FOUNDATIONAL
skill_0047,Coaching,FOUNDATIONAL
skill_0048,Consensus Building,FOUNDATIONAL
skill_0049,Curiosity,FOUNDATIONAL
skill_0050,Delegation,FOUNDATIONAL
skill_0051,Diplomacy,FOUNDATIONAL
skill_0052,Documentation,FOUNDATIONAL
skill_0053,Meeting Facilitation,FOUNDATIONAL
skill_0054,Process Thinking,FOUNDATIONAL
skill_0055,Risk Awareness,FOUNDATIONAL
skill_0056,Systems Thinking,FOUNDATIONAL
skill_0057,Work Ethic,FOUNDATIONAL
skill_0058,Accountability,FOUNDATIONAL
skill_0059,Cultural Awareness,FOUNDATIONAL
skill_0060,Data-Informed Decision Making,FOUNDATIONAL
skill_0061,Learning Agility,FOUNDATIONAL
skill_0062,Service Orientation,FOUNDATIONAL
skill_0063,Situational Awareness,FOUNDATIONAL
skill_0064,Task Management,FOUNDATIONAL
skill_0065,Troubleshooting Mindset,FOUNDATIONAL
skill_0066,User Empathy,FOUNDATIONAL
skill_0067,Attention Management,FOUNDATIONAL
skill_0068,Business Acumen,FOUNDATIONAL
skill_0069,Commercial Awareness,FOUNDATIONAL
skill_0070,Ethical Judgment,FOUNDATIONAL
skill_0071,Executive Communication,FOUNDATIONAL
skill_0072,Influencing,FOUNDATIONAL
skill_0073,Knowledge Sharing,FOUNDATIONAL
skill_0074,Peer Review,FOUNDATIONAL
skill_0075,Requirements Clarification,FOUNDATIONAL
skill_0076,Scope Management,FOUNDATIONAL
skill_0077,Structured Thinking,FOUNDATIONAL
skill_0078,Technical Communication,FOUNDATIONAL
skill_0079,Quality Mindset,FOUNDATIONAL
skill_0080,Root Cause Thinking,FOUNDATIONAL
skill_0081,Cross-Cultural Communication,FOUNDATIONAL
skill_0082,Conflict Management,FOUNDATIONAL
skill_0083,Coordination,FOUNDATIONAL
skill_0084,Planning and Scheduling,FOUNDATIONAL
skill_0085,Stakeholder Management,FOUNDATIONAL
skill_0086,Team Coordination,FOUNDATIONAL
skill_0087,Remote Collaboration,FOUNDATIONAL
skill_0088,Interviewing,FOUNDATIONAL
skill_0089,Information Synthesis,FOUNDATIONAL
skill_0090,Writing,FOUNDATIONAL
skill_0091,Reading Comprehension,FOUNDATIONAL
skill_0092,Numeracy,FOUNDATIONAL
skill_0093,Process Improvement,FOUNDATIONAL
skill_0094,Continuous Improvement,FOUNDATIONAL
skill_0095,Outcome Orientation,FOUNDATIONAL
skill_0096,Results Orientation,FOUNDATIONAL
skill_0097,Resilience,FOUNDATIONAL
skill_0098,Self-Awareness,FOUNDATIONAL
skill_0099,Learning from Feedback,FOUNDATIONAL
skill_0100,Coaching Others,FOUNDATIONAL
skill_0101,Public Speaking,FOUNDATIONAL
skill_0102,Meeting Management,FOUNDATIONAL
skill_0103,Expectation Management,FOUNDATIONAL
skill_0104,Customer Communication,FOUNDATIONAL
skill_0105,Partner Management,FOUNDATIONAL
skill_0106,Vendor Communication,FOUNDATIONAL
skill_0107,Community Engagement,FOUNDATIONAL
skill_0108,Facilitating Decisions,FOUNDATIONAL
skill_0109,Operational Discipline,FOUNDATIONAL
skill_0110,Quality Awareness,FOUNDATIONAL
skill_0111,Safety Awareness,FOUNDATIONAL
skill_0112,Precision,FOUNDATIONAL
skill_0113,Judgment,FOUNDATIONAL
skill_0114,Problem Framing,FOUNDATIONAL
skill_0115,Discovery Skills,FOUNDATIONAL
skill_0116,Questioning Techniques,FOUNDATIONAL
skill_0117,Storytelling,FOUNDATIONAL
skill_0118,Visual Communication,FOUNDATIONAL
skill_0119,Data Storytelling,FOUNDATIONAL
skill_0120,Escalation Management,FOUNDATIONAL
skill_0121,Incident Communication,FOUNDATIONAL
skill_0122,Conflict De-escalation,FOUNDATIONAL
skill_0123,Prioritization Under Pressure,FOUNDATIONAL
skill_0124,Strategic Planning,FOUNDATIONAL
skill_0125,JavaScript,TECHNICAL
skill_0126,TypeScript,TECHNICAL
skill_0127,Python,TECHNICAL
skill_0128,Java,TECHNICAL
skill_0129,C,TECHNICAL
skill_0130,Go,TECHNICAL
skill_0131,Rust,TECHNICAL
skill_0132,Ruby,TECHNICAL
skill_0133,PHP,TECHNICAL
skill_0134,Kotlin,TECHNICAL
skill_0135,Swift,TECHNICAL
skill_0136,Scala,TECHNICAL
skill_0137,R,TECHNICAL
skill_0138,MATLAB,TECHNICAL
skill_0139,Dart,TECHNICAL
skill_0140,Elixir,TECHNICAL
skill_0141,Erlang,TECHNICAL
skill_0142,Haskell,TECHNICAL
skill_0143,Lua,TECHNICAL
skill_0144,Perl,TECHNICAL
skill_0145,Bash,TECHNICAL
skill_0146,PowerShell,TECHNICAL
skill_0147,SQL,TECHNICAL
skill_0148,HTML,TECHNICAL
skill_0149,CSS,TECHNICAL
skill_0150,Sass,TECHNICAL
skill_0151,GraphQL,TECHNICAL
skill_0152,WebAssembly,TECHNICAL
skill_0153,Solidity,TECHNICAL
skill_0154,Objective-C,TECHNICAL
skill_0155,Groovy,TECHNICAL
skill_0156,F#,TECHNICAL
skill_0157,Visual Basic,TECHNICAL
skill_0158,COBOL,TECHNICAL
skill_0159,Fortran,TECHNICAL
skill_0160,Julia,TECHNICAL
skill_0161,Assembly Language,TECHNICAL
skill_0162,React,TECHNICAL
skill_0163,Next.js,TECHNICAL
skill_0164,Vue.js,TECHNICAL
skill_0165,Nuxt,TECHNICAL
skill_0166,Angular,TECHNICAL
skill_0167,Svelte,TECHNICAL
skill_0168,SvelteKit,TECHNICAL
skill_0169,Express.js,TECHNICAL
skill_0170,Fastify,TECHNICAL
skill_0171,NestJS,TECHNICAL
skill_0172,Node.js,TECHNICAL
skill_0173,Deno,TECHNICAL
skill_0174,Bun,TECHNICAL
skill_0175,Spring Boot,TECHNICAL
skill_0176,ASP.NET Core,TECHNICAL
skill_0177,Django,TECHNICAL
skill_0178,Flask,TECHNICAL
skill_0179,FastAPI,TECHNICAL
skill_0180,Ruby on Rails,TECHNICAL
skill_0181,Laravel,TECHNICAL
skill_0182,Symfony,TECHNICAL
skill_0183,Phoenix Framework,TECHNICAL
skill_0184,React Native,TECHNICAL
skill_0185,Flutter,TECHNICAL
skill_0186,Electron,TECHNICAL
skill_0187,Tauri,TECHNICAL
skill_0188,jQuery,TECHNICAL
skill_0189,Redux,TECHNICAL
skill_0190,Zustand,TECHNICAL
skill_0191,TanStack Query,TECHNICAL
skill_0192,Apollo Client,TECHNICAL
skill_0193,GraphQL Yoga,TECHNICAL
skill_0194,gRPC,TECHNICAL
skill_0195,REST API Design,TECHNICAL
skill_0196,OpenAPI,TECHNICAL
skill_0197,WebSockets,TECHNICAL
skill_0198,Server-Sent Events,TECHNICAL
skill_0199,PostgreSQL,TECHNICAL
skill_0200,MySQL,TECHNICAL
skill_0201,MariaDB,TECHNICAL
skill_0202,SQLite,TECHNICAL
skill_0203,Microsoft SQL Server,TECHNICAL
skill_0204,Oracle Database,TECHNICAL
skill_0205,MongoDB,TECHNICAL
skill_0206,Redis,TECHNICAL
skill_0207,DynamoDB,TECHNICAL
skill_0208,Cassandra,TECHNICAL
skill_0209,CockroachDB,TECHNICAL
skill_0210,Neo4j,TECHNICAL
skill_0211,Elasticsearch,TECHNICAL
skill_0212,OpenSearch,TECHNICAL
skill_0213,ClickHouse,TECHNICAL
skill_0214,Snowflake,TECHNICAL
skill_0215,BigQuery,TECHNICAL
skill_0216,Redshift,TECHNICAL
skill_0217,Databricks,TECHNICAL
skill_0218,Firebase Firestore,TECHNICAL
skill_0219,Supabase,TECHNICAL
skill_0220,PlanetScale,TECHNICAL
skill_0221,TimescaleDB,TECHNICAL
skill_0222,InfluxDB,TECHNICAL
skill_0223,DuckDB,TECHNICAL
skill_0224,Database Design,TECHNICAL
skill_0225,Database Administration,TECHNICAL
skill_0226,Database Optimization,TECHNICAL
skill_0227,Query Optimization,TECHNICAL
skill_0228,Data Modeling,TECHNICAL
skill_0229,Schema Design,TECHNICAL
skill_0230,Database Migrations,TECHNICAL
skill_0231,Transactional Systems,TECHNICAL
skill_0232,Distributed Databases,TECHNICAL
skill_0233,AWS,TECHNICAL
skill_0234,Microsoft Azure,TECHNICAL
skill_0235,Google Cloud Platform,TECHNICAL
skill_0236,Docker,TECHNICAL
skill_0237,Kubernetes,TECHNICAL
skill_0238,Helm,TECHNICAL
skill_0239,Terraform,TECHNICAL
skill_0240,Pulumi,TECHNICAL
skill_0241,Ansible,TECHNICAL
